,0,1,2,3,4
0,True,False,False,False,True
1,True,False,True,False,True
2,True,False,False,False,False
3,True,False,True,False,False
4,True,True,False,True,False
5,False,False,False,False,False
6,True,True,False,True,False
7,False,False,True,False,True
8,True,False,False,False,False
9,True,True,False,True,True
10,True,False,True,False,True
11,True,True,False,True,False
12,True,False,False,False,True
13,True,False,True,False,True
14,False,False,False,False,True
15,False,True,True,True,False
16,True,True,True,True,True
17,True,True,False,True,True
18,True,False,True,False,True
19,True,False,False,False,True
20,True,True,True,True,False
21,True,False,True,False,True
22,True,False,True,False,False
23,True,True,False,True,True
24,False,False,True,False,True
25,True,False,True,False,True
26,False,True,False,True,True
27,False,True,False,True,True
28,True,True,False,True,True
29,True,True,False,True,False
30,True,True,False,True,False
31,True,True,True,True,False
32,False,False,True,False,True
33,True,True,True,True,False
34,False,True,True,True,True
35,False,False,False,False,False
36,True,False,True,False,True
37,True,True,False,True,False
38,False,False,False,False,False
39,False,False,False,False,False
40,False,False,False,False,False
41,False,False,True,False,True
42,False,False,False,False,True
43,True,True,False,True,True
44,False,True,True,True,False
45,True,False,False,False,True
46,True,False,True,False,False
47,False,False,True,False,True
48,True,False,True,False,False
49,True,False,False,False,True
50,False,True,False,True,False
51,True,True,True,True,False
52,True,True,False,True,True
53,True,False,True,False,True
54,True,True,True,True,True
55,False,False,False,False,True
56,False,False,True,False,True
57,True,True,False,True,True
58,False,False,True,False,True
59,True,True,False,True,False
60,True,True,True,True,True
61,True,True,False,True,False
62,False,False,False,False,True
63,True,False,False,False,True
64,False,True,True,True,True
65,True,True,False,True,False
66,True,True,False,True,True
67,True,False,True,False,True
68,True,False,False,False,True
69,True,True,False,True,True
70,False,False,False,False,False
71,True,False,False,False,True
72,False,False,False,False,True
73,True,False,False,False,False
74,False,True,True,True,True
75,True,False,True,False,True
76,True,False,True,False,True
77,True,True,False,True,False
78,False,False,True,False,True
79,False,True,False,True,True
80,True,False,True,False,True
81,True,False,False,False,False
82,True,False,True,False,True
83,True,False,True,False,True
84,False,True,False,True,False
85,True,True,True,True,False
86,False,False,False,False,True
87,True,True,True,True,False
88,True,True,False,True,True
89,True,True,False,True,False
90,False,False,False,False,True
91,True,True,False,True,False
92,False,False,False,False,False
93,True,True,True,True,True
94,True,True,True,True,False
95,True,True,False,True,True
96,True,True,False,True,True
97,False,True,True,True,True
98,True,True,True,True,False
99,False,True,True,True,False
100,False,True,True,True,False
101,True,False,True,False,True
102,True,True,True,True,False
103,True,True,False,True,False
104,False,False,False,False,False
105,True,True,False,True,False
106,False,True,True,True,True
107,True,False,True,False,False
108,True,True,True,True,True
109,True,True,True,True,False
110,True,False,False,False,False
111,True,True,True,True,True
112,True,False,False,False,False
113,False,False,False,False,False
114,True,False,True,False,False
115,True,True,True,True,False
116,False,False,True,False,True
117,True,True,False,True,False
118,False,True,True,True,False
119,False,False,False,False,False
120,True,True,False,True,True
121,False,True,True,True,True
122,True,True,True,True,False
123,True,True,False,True,False
124,True,False,True,False,False
125,True,False,False,False,False
126,False,False,True,False,True
127,True,True,True,True,False
128,False,True,True,True,True
129,False,True,True,True,True
130,True,False,False,False,False
131,False,True,True,True,True
132,True,True,False,True,False
133,True,True,False,True,True
134,False,False,False,False,True
135,False,True,True,True,True
136,True,True,True,True,False
137,True,True,True,True,False
138,False,False,False,False,False
139,True,True,True,True,False
140,False,False,True,False,True
141,True,False,True,False,True
142,False,False,False,False,True
143,False,True,True,True,True
144,True,True,True,True,False
145,True,True,True,True,True
146,True,True,True,True,False
147,False,False,True,False,True
148,False,False,False,False,True
149,True,True,False,True,False
150,True,True,False,True,False
151,False,False,False,False,True
152,False,False,True,False,True
153,True,True,True,True,False
154,False,True,False,True,True
155,False,False,True,False,True
156,True,True,False,True,True
157,True,False,True,False,True
158,False,False,False,False,True
159,True,True,False,True,False
160,False,False,False,False,True
161,True,True,True,True,False
162,False,True,True,True,True
163,False,False,True,False,True
164,True,False,True,False,False
165,True,True,True,True,False
166,False,False,False,False,False
167,False,False,False,False,True
168,False,False,True,False,True
169,False,True,True,True,True
170,False,False,True,False,False
171,False,False,True,False,True
172,False,False,False,False,True
173,True,False,False,False,False
174,True,True,False,True,False
175,True,False,False,False,True
176,True,False,True,False,True
177,False,True,True,True,True
178,True,False,True,False,False
179,False,False,False,False,True
180,False,True,True,True,False
181,True,False,True,False,True
182,False,False,True,False,True
183,True,True,False,True,True
184,False,True,False,True,True
185,True,False,False,False,True
186,True,True,True,True,True
187,True,False,False,False,True
188,True,False,True,False,True
189,True,True,False,True,False
190,True,False,True,False,True
191,True,False,False,False,True
192,False,False,True,False,True
193,True,True,True,True,False
194,True,True,True,True,False
195,False,True,True,True,False
196,True,False,False,False,False
197,False,False,False,False,True
198,False,True,True,True,True
199,True,False,True,False,True
200,True,True,False,True,False
201,True,False,False,False,True
202,True,True,False,True,False
203,True,False,True,False,True
204,True,False,True,False,False
205,False,True,True,True,True
206,False,False,True,False,True
207,False,False,True,False,True
208,True,True,False,True,False
209,False,True,False,True,True
210,True,False,False,False,False
211,True,True,True,True,True
212,True,True,False,True,True
213,False,False,True,False,True
214,False,False,False,False,True
215,True,False,True,False,True
216,False,False,False,False,False
217,False,False,False,False,True
218,True,False,False,False,True
219,False,True,True,True,True
220,True,False,True,False,True
221,False,False,True,False,True
222,True,False,True,False,False
223,True,True,False,True,True
224,True,False,False,False,True
225,True,False,False,False,False
226,True,True,False,True,True
227,True,False,True,False,False
228,False,False,True,False,True
229,True,False,True,False,True
230,False,True,True,True,True
231,True,True,False,True,False
232,False,True,True,True,True
233,True,False,True,False,True
234,True,True,False,True,True
235,True,True,False,True,True
236,True,False,True,False,True
237,True,True,False,True,False
238,True,True,False,True,True
239,True,False,True,False,True
240,False,True,True,True,True
241,True,True,True,True,True
242,False,True,True,True,True
243,True,False,True,False,True
244,True,False,True,False,False
245,False,False,False,False,True
246,True,False,False,False,False
247,False,False,False,False,True
248,False,False,False,False,True
249,False,False,True,False,True
