,sEXT,sNEU,sAGR,sCON,sOPN,positive,negative,joy,sadness,fear,disgust,anticipation
0,2.65,3.0,3.15,3.25,4.4,2,2,2,0,1,0,1
1,2.65,3.0,3.15,3.25,4.4,0,0,0,0,0,0,0
2,2.65,3.0,3.15,3.25,4.4,1,6,1,3,1,0,0
3,2.65,3.0,3.15,3.25,4.4,2,0,2,0,0,0,1
4,2.65,3.0,3.15,3.25,4.4,1,0,1,0,0,0,0
5,2.65,3.0,3.15,3.25,4.4,0,0,0,0,0,0,0
6,2.65,3.0,3.15,3.25,4.4,4,1,3,0,1,1,1
7,2.65,3.0,3.15,3.25,4.4,1,0,1,0,1,0,1
8,2.65,3.0,3.15,3.25,4.4,2,3,0,0,1,0,2
9,2.65,3.0,3.15,3.25,4.4,3,0,3,1,0,0,1
10,2.65,3.0,3.15,3.25,4.4,0,1,0,1,1,1,0
11,2.65,3.0,3.15,3.25,4.4,2,0,1,0,0,0,1
12,2.65,3.0,3.15,3.25,4.4,1,1,1,1,0,0,0
13,2.65,3.0,3.15,3.25,4.4,0,1,0,1,0,0,0
14,2.65,3.0,3.15,3.25,4.4,4,1,3,0,1,0,3
15,2.65,3.0,3.15,3.25,4.4,0,0,0,0,0,0,0
16,2.65,3.0,3.15,3.25,4.4,3,0,1,0,0,0,0
17,2.65,3.0,3.15,3.25,4.4,1,0,0,0,0,0,0
18,2.65,3.0,3.15,3.25,4.4,0,1,0,0,0,0,0
19,2.65,3.0,3.15,3.25,4.4,0,1,0,0,0,0,0
20,2.65,3.0,3.15,3.25,4.4,1,0,1,0,0,0,0
21,2.65,3.0,3.15,3.25,4.4,0,0,0,0,0,0,0
22,2.65,3.0,3.15,3.25,4.4,2,0,0,0,1,0,1
23,2.65,3.0,3.15,3.25,4.4,2,1,1,0,1,1,3
24,2.65,3.0,3.15,3.25,4.4,0,0,0,0,0,0,0
25,2.65,3.0,3.15,3.25,4.4,1,1,1,1,1,0,0
26,2.65,3.0,3.15,3.25,4.4,1,0,1,0,0,0,0
27,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,0,0
28,2.65,3.0,3.15,3.25,4.4,0,1,0,1,0,0,0
29,2.65,3.0,3.15,3.25,4.4,1,0,0,0,0,0,0
30,2.65,3.0,3.15,3.25,4.4,2,0,1,0,1,0,3
31,2.65,3.0,3.15,3.25,4.4,1,1,0,0,1,0,0
32,2.65,3.0,3.15,3.25,4.4,1,4,0,2,0,1,0
33,2.65,3.0,3.15,3.25,4.4,1,0,0,0,0,0,1
34,2.65,3.0,3.15,3.25,4.4,0,0,0,0,0,0,1
35,2.65,3.0,3.15,3.25,4.4,5,0,3,0,1,0,2
36,2.65,3.0,3.15,3.25,4.4,3,2,0,0,0,0,1
37,2.65,3.0,3.15,3.25,4.4,1,1,1,0,0,0,0
38,2.65,3.0,3.15,3.25,4.4,0,2,0,1,0,0,0
39,2.65,3.0,3.15,3.25,4.4,3,2,0,1,0,0,1
40,2.65,3.0,3.15,3.25,4.4,0,0,0,0,0,0,0
41,2.65,3.0,3.15,3.25,4.4,3,2,1,1,1,0,1
42,2.65,3.0,3.15,3.25,4.4,0,0,0,0,0,0,0
43,2.65,3.0,3.15,3.25,4.4,0,0,0,0,0,0,0
44,2.65,3.0,3.15,3.25,4.4,2,1,2,0,0,0,2
45,2.65,3.0,3.15,3.25,4.4,2,1,2,1,0,0,1
46,2.65,3.0,3.15,3.25,4.4,0,4,0,0,1,0,0
47,2.65,3.0,3.15,3.25,4.4,2,1,1,0,0,0,1
48,2.65,3.0,3.15,3.25,4.4,1,0,1,0,0,0,1
49,2.65,3.0,3.15,3.25,4.4,4,1,2,2,2,1,1
50,2.65,3.0,3.15,3.25,4.4,2,1,1,0,0,0,0
51,2.65,3.0,3.15,3.25,4.4,0,0,0,0,0,0,0
52,2.65,3.0,3.15,3.25,4.4,3,2,1,1,1,1,1
53,2.65,3.0,3.15,3.25,4.4,1,0,0,0,0,0,1
54,2.65,3.0,3.15,3.25,4.4,1,0,0,0,0,0,0
55,2.65,3.0,3.15,3.25,4.4,0,0,0,0,0,0,1
56,2.65,3.0,3.15,3.25,4.4,2,0,1,0,0,0,1
57,2.65,3.0,3.15,3.25,4.4,0,1,0,0,0,0,0
58,2.65,3.0,3.15,3.25,4.4,5,2,2,2,2,2,1
59,2.65,3.0,3.15,3.25,4.4,1,3,0,0,0,0,1
60,2.65,3.0,3.15,3.25,4.4,1,3,0,2,0,0,1
61,2.65,3.0,3.15,3.25,4.4,9,0,6,0,1,0,0
62,2.65,3.0,3.15,3.25,4.4,5,0,4,0,0,0,2
63,2.65,3.0,3.15,3.25,4.4,3,4,2,3,2,1,1
64,2.65,3.0,3.15,3.25,4.4,1,2,0,0,0,2,0
65,2.65,3.0,3.15,3.25,4.4,3,0,3,0,0,0,0
66,2.65,3.0,3.15,3.25,4.4,3,1,3,0,0,0,1
67,2.65,3.0,3.15,3.25,4.4,1,2,1,0,0,0,0
68,2.65,3.0,3.15,3.25,4.4,1,1,0,0,0,0,1
69,2.65,3.0,3.15,3.25,4.4,4,2,0,0,0,0,0
70,2.65,3.0,3.15,3.25,4.4,0,0,0,0,0,0,0
71,2.65,3.0,3.15,3.25,4.4,3,2,2,1,1,0,1
72,2.65,3.0,3.15,3.25,4.4,3,3,2,1,0,1,1
73,2.65,3.0,3.15,3.25,4.4,0,0,0,0,0,0,0
74,2.65,3.0,3.15,3.25,4.4,0,0,0,0,0,0,0
75,2.65,3.0,3.15,3.25,4.4,0,0,0,0,0,0,0
76,2.65,3.0,3.15,3.25,4.4,2,2,0,2,1,0,1
77,2.65,3.0,3.15,3.25,4.4,2,0,1,0,0,0,1
78,2.65,3.0,3.15,3.25,4.4,2,1,1,0,0,0,0
79,2.65,3.0,3.15,3.25,4.4,1,3,0,1,2,1,0
