,#AUTHID,sEXT,sNEU,sAGR,sCON,sOPN,NETWORKSIZE,positive,negative,joy,sadness,fear,disgust,anticipation,surprise,sum_emotions,punctuation
0,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
1,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
2,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,2,1,2,1,0,0,0,7,1
3,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
4,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,1,0,0,0,0,0,2,0
5,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
6,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,1,0,0,0,0,0,0,1,1
7,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,1,0,1,0,1,1,4,0
8,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,2,0,0,1,0,1,1,5,0
9,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,2,0,2,1,0,0,1,1,6,0
10,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
11,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
12,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,1,1,1,0,0,0,0,4,0
13,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,1
14,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,3,0,3,0,1,0,3,3,10,0
15,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,2
16,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,0,0,0,0,0,0,1,0
17,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,0,0,0,0,0,0,1,0
18,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,1,0,0,0,0,0,0,1,0
19,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
20,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
21,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,1
22,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,1,0,1,1,2,1
23,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,0,0,0,0,1,1,2,0
24,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
25,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,1,1,1,1,0,0,0,5,0
26,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,1,0,0,0,0,0,2,0
27,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,1,0,0,1,0,0,0,2,0
28,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
29,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
30,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,2,0,1,0,1,0,2,2,6,0
31,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,3
32,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,2,0,2,0,1,0,0,5,0
33,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,0,0,0,0,1,1,2,0
34,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
35,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,3,0,3,0,1,0,2,2,9,0
36,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,1,0,0,0,0,1,1,3,0
37,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
38,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
39,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,1,0,1,0,0,0,0,3,0
40,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,1
41,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,1,1,1,1,0,0,0,5,0
42,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
43,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
44,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,2,0,2,0,0,0,2,2,6,0
45,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,1,0,0,0,1,1,3,0
46,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,2,0,0,1,0,0,0,3,0
47,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,1,0,0,0,0,0,2,0
48,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,1,0,0,0,1,1,3,0
49,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,0,0,0,0,0,0,1,0
50,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,1,0,0,0,0,0,2,3
51,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
52,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,2,1,0,1,1,1,0,0,6,0
53,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,0,0,0,0,1,1,2,0
54,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
55,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,1,1,1,0
56,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,2,0,1,0,0,0,1,1,4,0
57,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,1,0,0,0,0,0,0,1,0
58,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,2,2,1,2,2,2,0,0,11,2
59,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,1,0,0,0,0,0,0,1,0
60,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,1,0,1,0,0,1,1,4,0
61,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,5,0,5,0,0,0,0,0,10,0
62,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,5,0,4,0,0,0,2,2,11,0
63,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,1,1,1,1,1,1,1,7,0
64,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,1,0,0,0,1,0,0,3,1
65,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,3,0,3,0,0,0,0,0,6,0
66,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,2,0,2,0,0,0,1,1,5,0
67,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,1,0,0,0,0,0,2,0
68,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,0,0,0,0,1,1,2,0
69,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,3,0,0,0,0,0,0,0,3,0
70,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
71,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,3,2,2,1,1,0,1,1,10,0
72,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,1,1,0,0,0,0,0,3,0
73,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
74,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
75,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
76,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
77,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,1,0,0,0,1,1,3,1
78,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,0,0,0,0,0,0,1,0
79,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,2,0,1,2,1,0,0,6,0
80,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,2,1,2,1,1,1,1,1,9,1
81,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,2,0,2,0,0,0,1,1,5,1
82,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
83,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,1,0,1,1,0,0,0,3,0
84,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,1,1,1,0
85,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,1
86,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,0,0,0,0,0,0,1,1
87,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,2,1,0,0,1,0,0,0,4,0
88,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,2,0,2,0,0,0,0,0,4,0
89,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,2,0,2,0,0,0,1,1,5,0
90,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,1,0,0,0,1,1,3,0
91,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,1,0,1,1,1,1,1,5,3
92,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,3,1,0,1,1,0,0,0,6,1
93,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,1,0,1,0,0,0,0,0,2,0
94,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,1,0,0,1,1,0,0,3,0
95,b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3.0,3.15,3.25,4.4,180.0,0,0,0,0,0,0,0,0,0,0
