,0,1,2,3,4
0,False,False,True,False,True
1,True,True,False,True,False
2,True,True,False,True,False
3,True,False,False,False,False
4,False,True,True,True,True
5,False,False,False,False,True
6,False,True,True,True,True
7,True,True,False,True,False
8,True,False,False,False,True
9,True,True,True,True,True
10,False,True,False,True,False
11,True,True,False,True,False
12,False,False,True,False,True
13,True,True,False,True,True
14,True,True,False,True,False
15,True,True,True,True,False
16,False,False,False,False,True
17,True,False,False,False,False
18,True,False,True,False,True
19,True,True,True,True,False
20,True,True,False,True,True
21,False,False,True,False,True
22,False,False,True,False,True
23,True,False,True,False,False
24,False,True,True,True,True
25,True,True,False,True,False
26,True,True,False,True,True
27,False,False,True,False,True
28,True,True,True,True,True
29,False,True,True,True,True
30,True,True,True,True,False
31,True,True,True,True,False
32,True,False,False,False,False
33,False,False,True,False,True
34,False,False,True,False,True
35,False,True,True,True,True
36,False,True,True,True,True
37,True,False,True,False,True
38,True,True,False,True,True
39,False,False,True,False,True
40,True,False,True,False,False
41,True,False,True,False,True
42,True,False,True,False,True
43,True,False,False,False,True
44,True,False,True,False,False
45,True,False,True,False,True
46,False,False,True,False,True
47,True,False,True,False,True
48,True,True,True,True,True
49,True,False,False,False,False
50,True,True,False,True,False
51,True,False,True,False,True
52,True,False,True,False,False
53,True,True,False,True,False
54,True,False,True,False,False
55,False,False,False,False,True
56,True,False,True,False,True
57,False,True,True,True,False
58,True,False,True,False,True
59,True,False,False,False,False
60,False,True,False,True,True
61,True,False,True,False,True
62,True,True,True,True,True
63,False,True,False,True,True
64,True,False,True,False,True
65,False,False,True,False,True
66,True,True,False,True,True
67,True,False,False,False,True
68,False,False,False,False,True
69,True,True,False,True,True
70,True,True,True,True,True
71,True,True,False,True,False
72,False,False,True,False,False
73,True,True,False,True,False
74,True,False,False,False,False
75,True,True,True,True,False
76,False,True,True,True,True
77,False,False,False,False,True
78,True,True,True,True,False
79,False,True,False,True,True
80,True,True,True,True,True
81,False,False,True,False,True
82,False,True,False,True,True
83,True,True,False,True,False
84,True,False,True,False,True
85,True,True,True,True,True
86,True,True,True,True,False
87,False,False,True,False,True
88,False,False,False,False,False
89,False,True,True,True,True
90,True,True,True,True,False
91,False,False,False,False,True
92,True,False,True,False,True
93,False,False,True,False,True
94,True,False,False,False,True
95,False,True,True,True,True
96,True,False,False,False,True
97,False,False,False,False,True
98,False,False,True,False,True
99,True,True,True,True,False
100,True,True,False,True,True
101,True,False,False,False,False
102,True,False,True,False,True
103,True,False,False,False,False
104,False,False,True,False,False
105,True,True,False,True,False
106,True,True,True,True,True
107,False,False,True,False,True
108,True,False,False,False,False
109,False,False,True,False,False
110,True,False,False,False,False
111,True,True,False,True,True
112,False,True,True,True,False
113,False,False,True,False,False
